Locality,City,Type,Months,Year,Price Range,Min_Price,Max_Price,Average Price,Q-o-Q,QOQ_missing
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,16266-29066,16266,29066,22666,6,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,15531-27163,15531,27163,21347,1,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,15841-27342,15841,27342,21591,6,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,14887-25990,14887,25990,20439,3.5,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,14500-25000,14500,25000,19750,1,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,14000-24000,14000,24000,19000,2,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,13800-23500,13800,23500,18650,3,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,13500-23000,13500,23000,18250,2.5,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,13200-22500,13200,22500,17850,2,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,13000-22000,13000,22000,17500,1,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,12900-21800,12900,21800,17350,1,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,12800-21600,12800,21600,17200,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,12600-21200,12600,21200,16900,1,0
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,12500-21000,12500,21000,16750,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,12400-20900,12400,20900,16650,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,12300-20800,12300,20800,16550,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,12100-20500,12100,20500,16300,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,12000-20400,12000,20400,16200,1,1
